Epoch 123/200, Loss: 0.416041761636734
Epoch 124/200, Loss: 0.4160205125808716
Epoch 125/200, Loss: 0.41609489917755127
Epoch 126/200, Loss: 0.41626110672950745
Epoch 127/200, Loss: 0.41630828380584717
Epoch 128/200, Loss: 0.41625258326530457
Epoch 129/200, Loss: 0.416122168302536
Epoch 130/200, Loss: 0.41608497500419617
Epoch 131/200, Loss: 0.41609370708465576
Epoch 132/200, Loss: 0.41602852940559387
Epoch 133/200, Loss: 0.4160396456718445
Epoch 134/200, Loss: 0.41606706380844116
Epoch 135/200, Loss: 0.4160943329334259
Epoch 136/200, Loss: 0.4160309433937073
Epoch 137/200, Loss: 0.4160441756248474
Epoch 138/200, Loss: 0.416009783744812
Epoch 139/200, Loss: 0.4160170257091522
Epoch 140/200, Loss: 0.4161016345024109
Epoch 141/200, Loss: 0.4160134494304657
Epoch 142/200, Loss: 0.41600120067596436
Epoch 143/200, Loss: 0.4159889817237854
Epoch 144/200, Loss: 0.41601917147636414
Epoch 145/200, Loss: 0.4159962236881256
Epoch 146/200, Loss: 0.41599026322364807
Epoch 147/200, Loss: 0.4159885346889496
Epoch 148/200, Loss: 0.41598770022392273
Epoch 149/200, Loss: 0.41598352789878845
Epoch 150/200, Loss: 0.41600295901298523
Epoch 151/200, Loss: 0.41597887873649597
Epoch 152/200, Loss: 0.4159790575504303
Epoch 153/200, Loss: 0.4159933030605316
Epoch 154/200, Loss: 0.4159805178642273
Epoch 155/200, Loss: 0.4159737825393677
Epoch 156/200, Loss: 0.4159723222255707
Epoch 157/200, Loss: 0.41597434878349304
Epoch 158/200, Loss: 0.41597780585289
Epoch 159/200, Loss: 0.4159907102584839
Epoch 160/200, Loss: 0.4159599244594574
Epoch 161/200, Loss: 0.4159751832485199
Epoch 162/200, Loss: 0.41596418619155884
Epoch 163/200, Loss: 0.4159659147262573
Epoch 164/200, Loss: 0.41596323251724243
Epoch 165/200, Loss: 0.41597017645835876
Epoch 166/200, Loss: 0.4159771502017975
Epoch 167/200, Loss: 0.4159603714942932
Epoch 168/200, Loss: 0.4159555435180664
Epoch 169/200, Loss: 0.4159579575061798
Epoch 170/200, Loss: 0.41596558690071106
Epoch 171/200, Loss: 0.41596081852912903
